,ИД,Факультет,Направление,год поступления,статус,Unnamed: 5,дата изменения,выпуск
340,111498,ФЭН,13.03.02 Электроэнергетика и электротехника,2002.0,1,учится,315 days,отчислен
344,111592,ФЭН,13.03.02 Электроэнергетика и электротехника,2004.0,-1,отчислен,0 days,выпустился
345,111592,ФЭН,13.03.02 Электроэнергетика и электротехника,2004.0,1,учится,83 days,выпустился
346,111592,ФЭН,13.03.02 Электроэнергетика и электротехника,2004.0,-1,отчислен,224 days,выпустился
524,116105,ФЭН,13.03.01 Теплоэнергетика и теплотехника,2005.0,-1,отчислен,0 days,отчислен
547,116244,ФЭН,13.03.02 Электроэнергетика и электротехника,2005.0,1,учится,0 days,отчислен
623,116556,РЭФ,11.03.04 Электроника и наноэлектроника,2005.0,-1,отчислен,0 days,
624,116556,РЭФ,11.03.04 Электроника и наноэлектроника,2005.0,1,учится,14 days,
625,116556,РЭФ,11.03.04 Электроника и наноэлектроника,2005.0,-1,отчислен,140 days,
636,116591,РЭФ,11.03.01 Радиотехника,2005.0,-1,отчислен,0 days,
637,116591,РЭФ,11.03.01 Радиотехника,2005.0,1,учится,73 days,
638,116591,РЭФ,11.03.01 Радиотехника,2005.0,-1,отчислен,200 days,
675,116745,РЭФ,28.04.01 Нанотехнологии и микросистемная техника,2005.0,2,ак. отпуск,0 days,выпустился
676,116745,РЭФ,28.04.01 Нанотехнологии и микросистемная техника,2005.0,1,учится,182 days,выпустился
677,116745,РЭФ,28.04.01 Нанотехнологии и микросистемная техника,2005.0,-1,отчислен,458 days,выпустился
678,116745,РЭФ,28.04.01 Нанотехнологии и микросистемная техника,2005.0,1,учится,546 days,выпустился
755,117109,АВТФ,09.04.01 Информатика и вычислительная техника,2005.0,1,учится,0 days,выпустился
756,117109,АВТФ,09.04.01 Информатика и вычислительная техника,2005.0,2,ак. отпуск,504 days,выпустился
886,117566,ФЛА,15.03.03 Прикладная механика,2005.0,-1,отчислен,0 days,выпустился
887,117566,ФЛА,15.03.03 Прикладная механика,2005.0,1,учится,225 days,выпустился
888,117566,ФЛА,15.03.03 Прикладная механика,2005.0,-1,отчислен,523 days,выпустился
889,117566,ФЛА,15.03.03 Прикладная механика,2005.0,1,учится,587 days,выпустился
890,117566,ФЛА,15.03.03 Прикладная механика,2005.0,-1,отчислен,693 days,выпустился
918,117656,ФТФ,03.04.02 Физика,2005.0,-1,отчислен,0 days,выпустился
919,117656,ФТФ,03.04.02 Физика,2005.0,1,учится,172 days,выпустился
920,117656,ФТФ,03.04.02 Физика,2005.0,-1,отчислен,695 days,выпустился
1097,118851,ФЭН,13.04.02 Электроэнергетика и электротехника,2005.0,-1,отчислен,0 days,выпустился
1098,118851,ФЭН,13.04.02 Электроэнергетика и электротехника,2005.0,1,учится,266 days,выпустился
1099,118851,ФЭН,13.04.02 Электроэнергетика и электротехника,2005.0,-1,отчислен,370 days,выпустился
1186,120673,ФМА,13.04.02 Электроэнергетика и электротехника,2005.0,1,учится,0 days,
1187,120673,ФМА,13.04.02 Электроэнергетика и электротехника,2005.0,-1,отчислен,724 days,
1384,121972,ФЭН,13.03.02 Электроэнергетика и электротехника,2005.0,1,учится,0 days,отчислен
1385,121972,ФЭН,13.03.02 Электроэнергетика и электротехника,2005.0,-1,отчислен,273 days,отчислен
1411,122235,ЮФ,40.03.01 Юриспруденция,2004.0,1,учится,0 days,отчислен
1412,122235,ЮФ,40.03.01 Юриспруденция,2004.0,-1,отчислен,164 days,отчислен
1468,127491,ЮФ,40.03.01 Юриспруденция,2005.0,-1,отчислен,0 days,отчислен
1472,127506,ЮФ,40.03.01 Юриспруденция,2005.0,1,учится,0 days,отчислен
1473,127506,ЮФ,40.03.01 Юриспруденция,2005.0,1,учится,402 days,отчислен
1474,127506,ЮФ,40.03.01 Юриспруденция,2005.0,2,ак. отпуск,628 days,отчислен
1545,156414,ЗО ИДО,38.03.02 Менеджмент,1998.0,-1,отчислен,0 days,отчислен
1548,156461,ЗО ИДО,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,2005.0,1,учится,0 days,отчислен
1549,156461,ЗО ИДО,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,2005.0,-1,отчислен,220 days,отчислен
1588,156859,ЗО ИДО,19.03.04 Технология продукции и организация общественного питания,2001.0,1,учится,0 days,отчислен
1589,156859,ЗО ИДО,19.03.04 Технология продукции и организация общественного питания,2001.0,3,переведен,683 days,отчислен
1717,159520,ЗО ИДО,11.03.01 Радиотехника,2002.0,1,учится,0 days,
1718,159520,ЗО ИДО,11.03.01 Радиотехника,2002.0,-1,отчислен,553 days,
1719,159520,ЗО ИДО,11.03.01 Радиотехника,2002.0,1,учится,555 days,
1732,159573,ЗО ИДО,38.03.02 Менеджмент,2003.0,-1,отчислен,0 days,
1889,162472,ЗО ИДО,38.03.01 Экономика,2005.0,-1,отчислен,0 days,отчислен
1936,162903,ЗО ИДО,38.03.01 Экономика,2003.0,1,учится,0 days,отчислен
1937,162903,ЗО ИДО,38.03.01 Экономика,2003.0,-1,отчислен,438 days,отчислен
2046,165207,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2001.0,1,учится,0 days,отчислен
2047,165207,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2001.0,-1,отчислен,307 days,отчислен
2096,166150,ЗО ИДО,09.03.01 Информатика и вычислительная техника,2002.0,1,учится,0 days,выпустился
2108,166320,ЗО ИДО,09.03.01 Информатика и вычислительная техника,2000.0,3,переведен,0 days,отчислен
2137,166871,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2005.0,1,учится,0 days,отчислен
2138,166871,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2005.0,-1,отчислен,353 days,отчислен
2139,166871,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2005.0,1,учится,397 days,отчислен
2143,166916,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2004.0,1,учится,0 days,отчислен
2144,166916,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2004.0,-1,отчислен,442 days,отчислен
2157,167242,ЗО ИДО,11.03.01 Радиотехника,2001.0,1,учится,0 days,отчислен
2158,167242,ЗО ИДО,11.03.01 Радиотехника,2001.0,-1,отчислен,287 days,отчислен
2376,173761,ЗО,13.03.02 Электроэнергетика и электротехника,2005.0,1,учится,0 days,
2377,173761,ЗО,13.03.02 Электроэнергетика и электротехника,2005.0,-1,отчислен,104 days,
2420,174345,ЗО,38.03.01 Экономика,2003.0,1,учится,0 days,отчислен
2421,174345,ЗО,38.03.01 Экономика,2003.0,-1,отчислен,83 days,отчислен
2422,174345,ЗО,38.03.01 Экономика,2003.0,1,учится,270 days,отчислен
2486,178425,ЗО,38.03.02 Менеджмент,2005.0,1,учится,0 days,выпустился
2567,180308,ЗО,38.03.01 Экономика,2002.0,1,учится,0 days,отчислен
2568,180308,ЗО,38.03.01 Экономика,2002.0,-1,отчислен,130 days,отчислен
2569,180374,ЗО,38.03.01 Экономика,2002.0,1,учится,0 days,отчислен
2570,180374,ЗО,38.03.01 Экономика,2002.0,-1,отчислен,130 days,отчислен
2591,181160,ЗО,38.03.01 Экономика,2004.0,1,учится,0 days,отчислен
2592,181160,ЗО,38.03.01 Экономика,2004.0,-1,отчислен,149 days,отчислен
2593,181160,ЗО,38.03.01 Экономика,2004.0,1,учится,373 days,отчислен
2594,181160,ЗО,38.03.01 Экономика,2004.0,-1,отчислен,534 days,отчислен
2640,183131,АВТФ,09.03.01 Информатика и вычислительная техника,2004.0,-1,отчислен,0 days,отчислен
2641,183131,АВТФ,09.03.01 Информатика и вычислительная техника,2004.0,1,учится,20 days,отчислен
2642,183131,АВТФ,09.03.01 Информатика и вычислительная техника,2004.0,-1,отчислен,360 days,отчислен
2643,183131,АВТФ,09.03.01 Информатика и вычислительная техника,2004.0,1,учится,395 days,отчислен
2644,183131,АВТФ,09.03.01 Информатика и вычислительная техника,2004.0,1,учится,403 days,отчислен
2656,184531,ЗО,38.03.01 Экономика,2005.0,-1,отчислен,0 days,отчислен
2657,184531,ЗО,38.03.01 Экономика,2005.0,1,учится,78 days,отчислен
2658,184531,ЗО,38.03.01 Экономика,2005.0,-1,отчислен,191 days,отчислен
2686,185756,ЮФ,40.03.01 Юриспруденция,2006.0,-1,отчислен,0 days,отчислен
2687,185756,ЮФ,40.03.01 Юриспруденция,2006.0,1,учится,716 days,отчислен
2759,186525,ФГО,37.03.01 Психология,2006.0,1,учится,0 days,отчислен
3058,187476,ФГО,37.04.01 Психология,2006.0,-1,отчислен,0 days,выпустился
3059,187476,ФГО,37.04.01 Психология,2006.0,1,учится,454 days,выпустился
3114,187606,ФЭН,13.03.02 Электроэнергетика и электротехника,2006.0,-1,отчислен,0 days,выпустился
3297,188070,ФГО,45.03.02 Лингвистика,2006.0,-1,отчислен,0 days,
3298,188070,ФГО,45.03.02 Лингвистика,2006.0,1,учится,36 days,
3299,188070,ФГО,45.03.02 Лингвистика,2006.0,-1,отчислен,262 days,
3300,188070,ФГО,45.03.02 Лингвистика,2006.0,1,учится,368 days,
3301,188070,ФГО,45.03.02 Лингвистика,2006.0,2,ак. отпуск,632 days,
3440,188379,ФГО,39.03.01 Социология,2006.0,1,учится,0 days,
3441,188379,ФГО,39.03.01 Социология,2006.0,-1,отчислен,511 days,
3477,188458,ФЭН,13.03.02 Электроэнергетика и электротехника,2006.0,2,ак. отпуск,0 days,отчислен
3478,188458,ФЭН,13.03.02 Электроэнергетика и электротехника,2006.0,1,учится,254 days,отчислен
3479,188458,ФЭН,13.03.02 Электроэнергетика и электротехника,2006.0,-1,отчислен,576 days,отчислен
3480,188458,ФЭН,13.03.02 Электроэнергетика и электротехника,2006.0,-1,отчислен,587 days,отчислен
3531,188598,ФГО,39.03.02 Социальная работа,2006.0,-1,отчислен,0 days,выпустился
3532,188598,ФГО,39.03.02 Социальная работа,2006.0,1,учится,55 days,выпустился
3533,188598,ФГО,39.03.02 Социальная работа,2006.0,-1,отчислен,133 days,выпустился
3556,188672,ФПМИ,01.04.02 Прикладная математика и информатика,2006.0,2,ак. отпуск,0 days,выпустился
3557,188672,ФПМИ,01.04.02 Прикладная математика и информатика,2006.0,1,учится,206 days,выпустился
3754,189199,АВТФ,27.03.04 Управление в технических системах,2006.0,-1,отчислен,0 days,отчислен
3755,189199,АВТФ,27.03.04 Управление в технических системах,2006.0,1,учится,112 days,отчислен
3756,189199,АВТФ,27.03.04 Управление в технических системах,2006.0,-1,отчислен,564 days,отчислен
3757,189199,АВТФ,27.03.04 Управление в технических системах,2006.0,1,учится,662 days,отчислен
3835,189454,ФГО,37.03.01 Психология,2006.0,-1,отчислен,0 days,отчислен
3836,189454,ФГО,37.03.01 Психология,2006.0,1,учится,177 days,отчислен
3837,189454,ФГО,37.03.01 Психология,2006.0,-1,отчислен,238 days,отчислен
4437,191882,ФЭН,38.03.02 Менеджмент,2006.0,1,учится,0 days,выпустился
4498,192033,АВТФ,09.03.01 Информатика и вычислительная техника,2006.0,1,учится,0 days,выпустился
5000,194201,РЭФ,11.03.01 Радиотехника,1998.0,1,учится,0 days,
5001,194201,РЭФ,11.03.01 Радиотехника,1998.0,-1,отчислен,383 days,
5049,194354,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2006.0,1,учится,0 days,
5058,194375,ЗО ИДО,24.05.07 Самолето- и вертолетостроение,2006.0,1,учится,0 days,
5122,194630,ЗО ИДО,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,2006.0,-1,отчислен,0 days,отчислен
5400,196008,ЗО ИДО,09.03.01 Информатика и вычислительная техника,2006.0,1,учится,0 days,отчислен
5401,196008,ЗО ИДО,09.03.01 Информатика и вычислительная техника,2006.0,-1,отчислен,553 days,отчислен
5439,196553,ФЭН,20.03.01 Техносферная безопасность,2001.0,1,учится,0 days,
5440,196553,ФЭН,20.03.01 Техносферная безопасность,2001.0,-1,отчислен,488 days,
5548,200492,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2005.0,1,учится,0 days,
5563,200894,ЗО ИДО,19.03.04 Технология продукции и организация общественного питания,2005.0,1,учится,0 days,отчислен
5564,200894,ЗО ИДО,19.03.04 Технология продукции и организация общественного питания,2005.0,-1,отчислен,334 days,отчислен
5587,201372,ФЭН,13.03.02 Электроэнергетика и электротехника,2006.0,1,учится,0 days,выпустился
5588,201372,ФЭН,13.03.02 Электроэнергетика и электротехника,2006.0,-1,отчислен,270 days,выпустился
5589,201372,ФЭН,13.03.02 Электроэнергетика и электротехника,2006.0,1,учится,665 days,выпустился
5618,202532,ЗО ИДО,09.03.01 Информатика и вычислительная техника,2006.0,-1,отчислен,0 days,
5631,203112,ФЭН,13.03.02 Электроэнергетика и электротехника,2006.0,1,учится,0 days,отчислен
5632,203112,ФЭН,13.03.02 Электроэнергетика и электротехника,2006.0,-1,отчислен,28 days,отчислен
5633,203112,ФЭН,13.03.02 Электроэнергетика и электротехника,2006.0,1,учится,161 days,отчислен
5634,203112,ФЭН,13.03.02 Электроэнергетика и электротехника,2006.0,-1,отчислен,500 days,отчислен
5733,206912,ФЭН,13.03.02 Электроэнергетика и электротехника,2002.0,1,учится,0 days,отчислен
5734,206912,ФЭН,13.03.02 Электроэнергетика и электротехника,2002.0,-1,отчислен,57 days,отчислен
5739,207133,ЗО,38.03.01 Экономика,2006.0,-1,отчислен,0 days,выпустился
5740,207133,ЗО,38.03.01 Экономика,2006.0,1,учится,565 days,выпустился
5759,207198,ЗО,38.03.01 Экономика,2006.0,1,учится,0 days,выпустился
5761,207202,ЗО,38.03.01 Экономика,2006.0,-1,отчислен,0 days,отчислен
5762,207202,ЗО,38.03.01 Экономика,2006.0,1,учится,202 days,отчислен
5763,207202,ЗО,38.03.01 Экономика,2006.0,-1,отчислен,356 days,отчислен
5816,208800,ЗО,09.03.01 Информатика и вычислительная техника,2006.0,1,учится,0 days,
5817,208800,ЗО,09.03.01 Информатика и вычислительная техника,2006.0,-1,отчислен,333 days,
5891,209699,ЗО,27.03.02 Управление качеством,2006.0,1,учится,0 days,отчислен
5892,209699,ЗО,27.03.02 Управление качеством,2006.0,-1,отчислен,387 days,отчислен
6119,216012,ЗО ИДО,09.03.01 Информатика и вычислительная техника,1999.0,-1,отчислен,0 days,выпустился
6120,216012,ЗО ИДО,09.03.01 Информатика и вычислительная техника,1999.0,1,учится,5 days,выпустился
6121,216012,ЗО ИДО,09.03.01 Информатика и вычислительная техника,1999.0,-1,отчислен,620 days,выпустился
6306,217812,АВТФ,09.03.01 Информатика и вычислительная техника,2007.0,1,учится,0 days,выпустился
6359,217911,ЮФ,40.03.01 Юриспруденция,2007.0,1,учится,0 days,отчислен
6466,218196,ФГО,42.03.01 Реклама и связи с общественностью,2007.0,2,ак. отпуск,0 days,отчислен
6467,218196,ФГО,42.03.01 Реклама и связи с общественностью,2007.0,-1,отчислен,389 days,отчислен
6696,218763,АВТФ,12.03.01 Приборостроение,2007.0,-1,отчислен,0 days,
6697,218763,АВТФ,12.03.01 Приборостроение,2007.0,1,учится,437 days,
6807,219063,АВТФ,27.03.04 Управление в технических системах,2007.0,-1,отчислен,0 days,
6808,219063,АВТФ,27.03.04 Управление в технических системах,2007.0,1,учится,392 days,
6809,219063,АВТФ,27.03.04 Управление в технических системах,2007.0,-1,отчислен,607 days,
6810,219063,АВТФ,27.03.04 Управление в технических системах,2007.0,1,учится,632 days,
6923,219369,ФЭН,38.03.02 Менеджмент,2007.0,-1,отчислен,0 days,выпустился
7033,219705,ЮФ,40.03.01 Юриспруденция,2007.0,1,учится,0 days,отчислен
7034,219705,ЮФ,40.03.01 Юриспруденция,2007.0,-1,отчислен,278 days,отчислен
7035,219705,ЮФ,40.03.01 Юриспруденция,2007.0,1,учится,407 days,отчислен
7036,219705,ЮФ,40.03.01 Юриспруденция,2007.0,-1,отчислен,725 days,отчислен
7110,219946,ЮФ,40.03.01 Юриспруденция,2007.0,-1,отчислен,0 days,выпустился
7111,219946,ЮФ,40.03.01 Юриспруденция,2007.0,1,учится,683 days,выпустился
7470,220887,АВТФ,12.03.04 Биотехнические системы и технологии,2007.0,-1,отчислен,0 days,
7493,220975,РЭФ,11.03.04 Электроника и наноэлектроника,2007.0,-1,отчислен,0 days,
7494,220975,РЭФ,11.03.04 Электроника и наноэлектроника,2007.0,1,учится,219 days,
7495,220975,РЭФ,11.03.04 Электроника и наноэлектроника,2007.0,-1,отчислен,482 days,
7646,221311,ФГО,37.03.01 Психология,2007.0,-1,отчислен,0 days,отчислен
7647,221311,ФГО,37.03.01 Психология,2007.0,1,учится,59 days,отчислен
7648,221311,ФГО,37.03.01 Психология,2007.0,-1,отчислен,132 days,отчислен
7649,221311,ФГО,37.03.01 Психология,2007.0,1,учится,382 days,отчислен
7650,221311,ФГО,37.03.01 Психология,2007.0,-1,отчислен,524 days,отчислен
7891,222154,ЮФ,40.03.01 Юриспруденция,2007.0,-1,отчислен,0 days,выпустился
7892,222154,ЮФ,40.03.01 Юриспруденция,2007.0,1,учится,495 days,выпустился
7951,222357,РЭФ,11.03.04 Электроника и наноэлектроника,2007.0,-1,отчислен,0 days,отчислен
7952,222357,РЭФ,11.03.04 Электроника и наноэлектроника,2007.0,1,учится,437 days,отчислен
8206,223034,ФГО,45.03.01 Филология,2007.0,1,учится,0 days,
8207,223034,ФГО,45.03.01 Филология,2007.0,-1,отчислен,647 days,
8239,223100,РЭФ,11.03.04 Электроника и наноэлектроника,2007.0,-1,отчислен,0 days,
8351,223337,ФЭН,13.03.02 Электроэнергетика и электротехника,2007.0,1,учится,0 days,выпустился
8379,223405,ФЭН,13.03.02 Электроэнергетика и электротехника,2007.0,-1,отчислен,0 days,отчислен
8380,223405,ФЭН,13.03.02 Электроэнергетика и электротехника,2007.0,1,учится,8 days,отчислен
8381,223405,ФЭН,13.03.02 Электроэнергетика и электротехника,2007.0,-1,отчислен,68 days,отчислен
8382,223405,ФЭН,13.03.02 Электроэнергетика и электротехника,2007.0,1,учится,138 days,отчислен
8383,223405,ФЭН,13.03.02 Электроэнергетика и электротехника,2007.0,-1,отчислен,364 days,отчислен
8384,223405,ФЭН,13.03.02 Электроэнергетика и электротехника,2007.0,1,учится,672 days,отчислен
8444,223494,ФЛА,17.05.01 Боеприпасы и взрыватели,2007.0,-1,отчислен,0 days,отчислен
8445,223494,ФЛА,17.05.01 Боеприпасы и взрыватели,2007.0,1,учится,194 days,отчислен
8446,223494,ФЛА,17.05.01 Боеприпасы и взрыватели,2007.0,-1,отчислен,294 days,отчислен
8476,223575,РЭФ,11.03.04 Электроника и наноэлектроника,2007.0,1,учится,0 days,отчислен
8477,223575,РЭФ,11.03.04 Электроника и наноэлектроника,2007.0,-1,отчислен,208 days,отчислен
8631,223856,ФЛА,20.03.01 Техносферная безопасность,2007.0,-1,отчислен,0 days,отчислен
8672,223967,ФЭН,13.03.02 Электроэнергетика и электротехника,2007.0,-1,отчислен,0 days,отчислен
8728,224900,ФЛА,38.03.02 Менеджмент,2007.0,-1,отчислен,0 days,
8729,224900,ФЛА,38.03.02 Менеджмент,2007.0,1,учится,315 days,
8730,224900,ФЛА,38.03.02 Менеджмент,2007.0,-1,отчислен,527 days,
8745,225425,ЗО ИДО,38.03.02 Менеджмент,2007.0,1,учится,0 days,отчислен
8746,225425,ЗО ИДО,38.03.02 Менеджмент,2007.0,-1,отчислен,183 days,отчислен
8831,225674,ЗО ИДО,38.03.01 Экономика,2007.0,1,учится,0 days,выпустился
8832,225674,ЗО ИДО,38.03.01 Экономика,2007.0,-1,отчислен,280 days,выпустился
8833,225674,ЗО ИДО,38.03.01 Экономика,2007.0,1,учится,358 days,выпустился
8918,225935,ЗО ИДО,38.03.02 Менеджмент,2007.0,1,учится,0 days,выпустился
9027,226359,ЗО ИДО,38.03.02 Менеджмент,2007.0,-1,отчислен,0 days,отчислен
9028,226359,ЗО ИДО,38.03.02 Менеджмент,2007.0,1,учится,199 days,отчислен
9039,226424,ЗО ИДО,38.03.02 Менеджмент,2007.0,-1,отчислен,0 days,выпустился
9040,226424,ЗО ИДО,38.03.02 Менеджмент,2007.0,1,учится,443 days,выпустился
9059,226525,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2007.0,-1,отчислен,0 days,отчислен
9060,226525,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2007.0,1,учится,585 days,отчислен
9102,226702,ЗО ИДО,43.03.02 Туризм,2007.0,-1,отчислен,0 days,отчислен
9103,226702,ЗО ИДО,43.03.02 Туризм,2007.0,1,учится,3 days,отчислен
9104,226702,ЗО ИДО,43.03.02 Туризм,2007.0,-1,отчислен,300 days,отчислен
9105,226702,ЗО ИДО,43.03.02 Туризм,2007.0,1,учится,482 days,отчислен
9106,226702,ЗО ИДО,43.03.02 Туризм,2007.0,-1,отчислен,650 days,отчислен
9194,227186,ЗО ИДО,42.03.01 Реклама и связи с общественностью,2007.0,1,учится,0 days,
9195,227186,ЗО ИДО,42.03.01 Реклама и связи с общественностью,2007.0,-1,отчислен,351 days,
9452,230913,ЗО ИДО,42.03.01 Реклама и связи с общественностью,2004.0,-1,отчислен,0 days,отчислен
9518,231478,ФЭН,13.03.02 Электроэнергетика и электротехника,1999.0,1,учится,0 days,отчислен
9519,231478,ФЭН,13.03.02 Электроэнергетика и электротехника,1999.0,-1,отчислен,40 days,отчислен
9520,231478,ФЭН,13.03.02 Электроэнергетика и электротехника,1999.0,1,учится,661 days,отчислен
9525,231534,ЗО ИДО,09.03.01 Информатика и вычислительная техника,2004.0,-1,отчислен,0 days,отчислен
9546,231804,ЗО ИДО,43.03.02 Туризм,2005.0,-1,отчислен,0 days,отчислен
9547,231804,ЗО ИДО,43.03.02 Туризм,2005.0,1,учится,184 days,отчислен
9548,231804,ЗО ИДО,43.03.02 Туризм,2005.0,-1,отчислен,568 days,отчислен
9549,231804,ЗО ИДО,43.03.02 Туризм,2005.0,1,учится,570 days,отчислен
9602,232707,ЗО,20.03.01 Техносферная безопасность,2007.0,1,учится,0 days,отчислен
9603,232707,ЗО,20.03.01 Техносферная безопасность,2007.0,-1,отчислен,227 days,отчислен
9627,232745,ЗО,20.03.01 Техносферная безопасность,2007.0,1,учится,0 days,отчислен
9712,233433,ЗО ИДО,09.03.01 Информатика и вычислительная техника,2006.0,-1,отчислен,0 days,
9913,238752,ФГО,37.03.01 Психология,2006.0,-1,отчислен,0 days,отчислен
9914,238752,ФГО,37.03.01 Психология,2006.0,1,учится,214 days,отчислен
9915,238752,ФГО,37.03.01 Психология,2006.0,-1,отчислен,448 days,отчислен
9973,240312,ФГО,41.03.01 Зарубежное регионоведение,2007.0,-1,отчислен,0 days,отчислен
9994,240893,ФГО,42.03.01 Реклама и связи с общественностью,2005.0,-1,отчислен,0 days,отчислен
10034,242032,ФЭН,13.03.02 Электроэнергетика и электротехника,2006.0,1,учится,0 days,отчислен
10035,242032,ФЭН,13.03.02 Электроэнергетика и электротехника,2006.0,-1,отчислен,296 days,отчислен
10065,245532,ФГО,45.03.02 Лингвистика,2008.0,-1,отчислен,0 days,
10066,245532,ФГО,45.03.02 Лингвистика,2008.0,1,учится,216 days,
10067,245532,ФГО,45.03.02 Лингвистика,2008.0,-1,отчислен,410 days,
10068,245532,ФГО,45.03.02 Лингвистика,2008.0,1,учится,586 days,
10075,245552,ФГО,42.03.01 Реклама и связи с общественностью,2008.0,-1,отчислен,0 days,
10076,245552,ФГО,42.03.01 Реклама и связи с общественностью,2008.0,1,учится,93 days,
10077,245552,ФГО,42.03.01 Реклама и связи с общественностью,2008.0,-1,отчислен,355 days,
10116,245892,ФПМИ,01.03.02 Прикладная математика и информатика,2008.0,1,учится,0 days,отчислен
10117,245892,ФПМИ,01.03.02 Прикладная математика и информатика,2008.0,-1,отчислен,534 days,отчислен
10221,246154,АВТФ,09.03.01 Информатика и вычислительная техника,2008.0,1,учится,0 days,выпустился
10222,246154,АВТФ,09.03.01 Информатика и вычислительная техника,2008.0,-1,отчислен,126 days,выпустился
10223,246154,АВТФ,09.03.01 Информатика и вычислительная техника,2008.0,1,учится,149 days,выпустился
10268,246355,ЮФ,40.03.01 Юриспруденция,2008.0,-1,отчислен,0 days,отчислен
10269,246355,ЮФ,40.03.01 Юриспруденция,2008.0,1,учится,170 days,отчислен
10270,246355,ЮФ,40.03.01 Юриспруденция,2008.0,-1,отчислен,305 days,отчислен
10271,246355,ЮФ,40.03.01 Юриспруденция,2008.0,1,учится,636 days,отчислен
10346,246463,ФГО,39.03.02 Социальная работа,2008.0,-1,отчислен,0 days,отчислен
10347,246463,ФГО,39.03.02 Социальная работа,2008.0,1,учится,71 days,отчислен
10348,246463,ФГО,39.03.02 Социальная работа,2008.0,-1,отчислен,314 days,отчислен
10349,246463,ФГО,39.03.02 Социальная работа,2008.0,1,учится,643 days,отчислен
10350,246463,ФГО,39.03.02 Социальная работа,2008.0,3,переведен,654 days,отчислен
10643,247173,ЮФ,40.03.01 Юриспруденция,2008.0,-1,отчислен,0 days,отчислен
10644,247173,ЮФ,40.03.01 Юриспруденция,2008.0,1,учится,170 days,отчислен
10645,247173,ЮФ,40.03.01 Юриспруденция,2008.0,-1,отчислен,305 days,отчислен
10646,247173,ЮФ,40.03.01 Юриспруденция,2008.0,1,учится,484 days,отчислен
10933,247978,РЭФ,11.03.04 Электроника и наноэлектроника,2008.0,1,учится,0 days,отчислен
10934,247978,РЭФ,11.03.04 Электроника и наноэлектроника,2008.0,-1,отчислен,249 days,отчислен
10954,248037,ФЭН,13.03.02 Электроэнергетика и электротехника,2008.0,-1,отчислен,0 days,выпустился
10955,248037,ФЭН,13.03.02 Электроэнергетика и электротехника,2008.0,1,учится,220 days,выпустился
11030,248225,ФГО,45.03.02 Лингвистика,2008.0,-1,отчислен,0 days,отчислен
