,PK,SEMESTER,DNAME,TYPE,MARK,GRADE,BALLS,EXAM_DATE
50,1063,2,Моделирование электромагнитных полей с использованием программных комплексов TELMA и GeoEM,зач,з,A-,90.0,2013-05-20 00:00:00
51,1063,2,Современные компьютерные технологии,зач,з,A-,90.0,2013-05-20 00:00:00
52,1063,2,Современные технологии разработки веб-приложений,зач,4,B,84.0,2013-05-23 00:00:00
53,1063,2,Философия,экз,5,A,95.0,2013-06-26 00:00:00
54,1063,2,Научно-исследовательская работа,прак,ня,,,2013-07-01 00:00:00
55,1063,2,Методы конечно-элементного анализа,экз,ня,,,2013-07-03 00:00:00
56,1063,2,Методы конечно-элементного анализа,КП,3,C-,71.0,2013-09-24 00:00:00
57,1063,2,Методы конечно-элементного анализа,экз,3,C-,70.0,2013-09-24 00:00:00
58,1063,2,Методы решения больших систем уравнений,экз,4,C,75.0,2013-09-27 00:00:00
59,1063,2,Научно-исследовательская работа,прак,3,D,63.0,2013-11-20 00:00:00
60,1063,3,Дискретные  математические модели,зач,з,A,95.0,2013-11-19 00:00:00
61,1063,3,Методы конечно-элементного анализа,КП,ня,,,2013-11-21 00:00:00
62,1063,3,Современные компьютерные технологии,зач,5,A,95.0,2013-11-21 00:00:00
63,1063,3,Научно-исследовательская работа,прак,ня,,,2014-01-18 00:00:00
64,1063,3,Методы конечно-элементного анализа,экз,ня,,,2014-01-27 00:00:00
65,1063,3,Методы решения больших систем уравнений,экз,ня,,,2014-01-28 00:00:00
66,1063,4,Научно-исследовательская практика,прак,ня,,,2014-04-18 00:00:00
67,1063,4,Научно-исследовательская работа,прак,ня,,,2014-05-25 00:00:00
86,4857,1,Введение в направление,зач,з,B+,87.0,2015-12-14 00:00:00
87,4857,1,Основы программирования,зач,3,E,54.0,2015-12-23 00:00:00
88,4857,1,История,зач,5,B+,87.0,2015-12-23 00:00:00
89,4857,1,Иностранный язык,зач,з,C,70.0,2015-12-23 00:00:00
90,4857,1,Физическая культура и спорт,зач,з,,,2015-12-23 00:00:00
91,4857,1,Алгебра и теория чисел,экз,3,C,74.0,2015-12-23 00:00:00
92,4857,1,Дискретная математика и математическая логика,экз,3,D-,60.0,2015-12-23 00:00:00
93,4857,1,Математический анализ,экз,3,E,54.0,2015-12-23 00:00:00
94,4857,2,Структуры данных и алгоритмы,КР,4,B-,80.0,2015-12-23 00:00:00
95,4857,2,Архитектура вычислительных систем и компьютерных сетей,зач,4,B-,80.0,2015-12-23 00:00:00
96,4857,2,Системное и прикладное программное обеспечение,зач,4,B-,80.0,2015-12-23 00:00:00
97,4857,2,Иностранный язык,зач,5,A-,90.0,2015-12-23 00:00:00
98,4857,2,Деловой русский язык,зач,з,E,50.0,2015-12-23 00:00:00
99,4857,2,Физическая культура и спорт,зач,з,,,2015-12-23 00:00:00
100,4857,2,Геометрия и топология,экз,3,D,65.0,2015-12-23 00:00:00
101,4857,2,Структуры данных и алгоритмы,экз,3,E,50.0,2015-12-23 00:00:00
102,4857,2,Математический анализ,экз,3,E,55.0,2015-12-23 00:00:00
103,4857,3,Методы построения и анализа алгоритмов,зач,3,D,65.0,2015-12-23 00:00:00
104,4857,3,Информатика,зач,3,E,53.0,2015-12-23 00:00:00
105,4857,3,Теория вычислительных процессов и структур,зач,4,B,85.0,2015-12-23 00:00:00
106,4857,3,Иностранный язык,зач,4,C+,78.0,2015-12-23 00:00:00
107,4857,3,Физическая культура и спорт,зач,з,,,2015-12-23 00:00:00
108,4857,3,Физика,экз,3,D,65.0,2015-12-23 00:00:00
109,4857,3,Математический анализ,экз,3,E,55.0,2015-12-23 00:00:00
110,4857,3,Философия,экз,4,B,85.0,2015-12-23 00:00:00
111,4857,3,Объектно-ориентированное программирование,экз,4,C,75.0,2015-12-23 00:00:00
112,4857,4,Комплексный анализ,зач,3,E,56.0,2014-06-18 00:00:00
113,4857,4,Организационная психология,зач,3,C-,70.0,2015-12-23 00:00:00
114,4857,4,Функциональный анализ,зач,3,D,60.0,2015-12-23 00:00:00
115,4857,4,Математический анализ,зач,3,E,56.0,2015-12-23 00:00:00
116,4857,4,Дифференциальные уравнения,зач,4,B-,80.0,2015-12-23 00:00:00
117,4857,4,Операционные системы,зач,5,B+,87.0,2015-12-23 00:00:00
118,4857,4,Иностранный язык,зач,з,B-,80.0,2015-12-23 00:00:00
119,4857,4,Физическая культура и спорт,зач,з,,,2015-12-23 00:00:00
120,4857,4,Физика,экз,3,D,65.0,2015-12-23 00:00:00
121,4857,4,Численные методы,экз,3,D,65.0,2015-12-23 00:00:00
122,4857,4,Теория вероятностей,экз,3,E,57.0,2015-12-23 00:00:00
166,9054,1,Введение в профессию,зач,з,,,2013-03-01 00:00:00
167,9054,1,Иностранный язык,зач,з,,,2013-03-01 00:00:00
168,9054,1,Информатика в психологии,зач,з,,,2013-03-01 00:00:00
169,9054,1,Логика,зач,з,,,2013-03-01 00:00:00
170,9054,1,Физическая культура,зач,з,,,2013-03-01 00:00:00
171,9054,1,Экология,зач,з,,,2013-03-01 00:00:00
172,9054,1,Анатомия центральной нервной системы,экз,3,,,2013-03-01 00:00:00
173,9054,1,Математика,экз,3,,,2013-03-01 00:00:00
174,9054,1,Общая психология,экз,3,,,2013-03-01 00:00:00
175,9054,1,Отечественная история,экз,4,,,2013-03-01 00:00:00
176,9054,2,Антропология,зач,3,,,2013-03-01 00:00:00
177,9054,2,Иностранный язык,зач,з,,,2013-03-01 00:00:00
178,9054,2,Информатика в психологии,зач,з,,,2013-03-01 00:00:00
179,9054,2,Концепции современного естествознания,зач,з,,,2013-03-01 00:00:00
180,9054,2,Социология,зач,з,,,2013-03-01 00:00:00
181,9054,2,Физическая культура,зач,з,,,2013-03-01 00:00:00
182,9054,2,Учебно-ознакомительная практика,прак,з,,,2013-03-01 00:00:00
183,9054,2,Математика,экз,3,,,2013-03-01 00:00:00
184,9054,2,Общая психология,экз,3,,,2013-03-01 00:00:00
185,9054,2,Физиология центральной нервной системы,экз,3,,,2013-03-01 00:00:00
186,9054,2,Зоопсихология и сравнительная психология,экз,4,,,2013-03-01 00:00:00
187,9054,3,Социальная психология личности,зач,з,,,2011-12-27 00:00:00
188,9054,3,Общая психология,зач,3,,,2013-03-01 00:00:00
189,9054,3,Безопасность жизнедеятельности,зач,з,,,2013-03-01 00:00:00
190,9054,3,Культурология,зач,з,,,2013-03-01 00:00:00
191,9054,3,Общий психологический практикум,зач,з,,,2013-03-01 00:00:00
192,9054,3,Физическая культура,зач,з,,,2013-03-01 00:00:00
193,9054,3,Иностранный язык,экз,3,,,2013-03-01 00:00:00
194,9054,3,Математические методы в психологии,экз,3,,,2013-03-01 00:00:00
195,9054,3,Физиология высшей нервной деятельности и сенсорных систем,экз,3,,,2013-03-01 00:00:00
196,9054,3,Философия,экз,4,,,2013-03-01 00:00:00
197,9054,3,Социальная психология личности,зач,з,E,50.0,2013-03-12 00:00:00
198,9054,4,Психология развития и возрастная психология,КР,3,,,2013-03-01 00:00:00
199,9054,4,Научная речь,зач,з,,,2013-03-01 00:00:00
200,9054,4,Общий психологический практикум,зач,з,,,2013-03-01 00:00:00
201,9054,4,Психодиагностика,зач,з,,,2013-03-01 00:00:00
202,9054,4,Физическая культура,зач,з,,,2013-03-01 00:00:00
203,9054,4,Этика и эстетика,зач,з,,,2013-03-01 00:00:00
204,9054,4,Производственная практика,прак,5,,,2013-03-01 00:00:00
205,9054,4,Общая психология,экз,3,,,2013-03-01 00:00:00
206,9054,4,Психология развития и возрастная психология,экз,3,,,2013-03-01 00:00:00
207,9054,4,Экспериментальная психология,экз,3,,,2013-03-01 00:00:00
208,9054,4,Социальная психология,экз,4,,,2013-03-01 00:00:00
258,108141,1,Современная схемотехника биотехнических систем,КР,ня,,0.0,2011-12-15 00:00:00
259,108141,1,Современная схемотехника биотехнических систем,экз,ня,,0.0,2011-12-15 00:00:00
260,108141,1,Современная схемотехника биотехнических систем,зач,ня,,0.0,2011-12-17 00:00:00
261,108141,1,Виртуальные медицинские приборы и комплексы,КП,ня,,0.0,2011-12-21 00:00:00
262,108141,1,Виртуальные медицинские приборы и комплексы,зач,ня,,0.0,2011-12-27 00:00:00
263,108141,1,Лицензирование и сертификация в области биотехнических систем,зач,ня,,0.0,2011-12-27 00:00:00
264,108141,1,История и методология науки и техники в области биотехнических систем и технологий,зач,ня,,0.0,2011-12-28 00:00:00
265,108141,1,Философия,экз,ня,,0.0,2012-01-09 00:00:00
266,108141,1,Интеллектуальные медицинские системы,зач,ня,,0.0,2012-01-18 00:00:00
267,108141,1,Компьютерные технологии в моделировании и проектировании биотехнических систем,зач,ня,,0.0,2012-01-18 00:00:00
268,108141,1,Теория биотехнических систем,экз,ня,,0.0,2012-01-20 00:00:00
273,108817,1,Теоретическая информатика,зач,3,E,53.0,2014-12-30 00:00:00
274,108817,1,История,зач,4,B,85.0,2014-12-30 00:00:00
275,108817,1,Экология,зач,4,C,75.0,2014-12-30 00:00:00
276,108817,1,Введение в специальность,зач,5,A,95.0,2014-12-30 00:00:00
277,108817,1,Иностранный язык,зач,з,D,64.0,2014-12-30 00:00:00
278,108817,1,Физическая культура,зач,з,,,2014-12-30 00:00:00
279,108817,1,Линейная алгебра и аналитическая геометрия,экз,3,E,50.0,2014-12-30 00:00:00
280,108817,1,Математика,экз,3,E,50.0,2014-12-30 00:00:00
281,108817,1,Физика,экз,3,E,55.0,2014-12-30 00:00:00
282,108817,1,Информатика,экз,4,C,75.0,2014-12-30 00:00:00
283,108817,2,Электротехника,зач,4,C+,77.0,2014-12-19 00:00:00
284,108817,2,Иностранный язык,зач,3,C-,70.0,2014-12-30 00:00:00
285,108817,2,Метрология и измерительная техника,зач,3,D,68.0,2014-12-30 00:00:00
286,108817,2,Деловой русский язык,зач,3,E,55.0,2014-12-30 00:00:00
287,108817,2,Компьютерная графика,зач,4,B,85.0,2014-12-30 00:00:00
288,108817,2,Физическая культура,зач,з,,,2014-12-30 00:00:00
289,108817,2,Дополнительные главы информатики,экз,3,C-,70.0,2014-12-30 00:00:00
290,108817,2,Математика,экз,3,E,51.0,2014-12-30 00:00:00
291,108817,2,Специальные главы математики,экз,3,E,55.0,2014-12-30 00:00:00
292,108817,2,Физика,экз,3,E,59.0,2014-12-30 00:00:00
293,108817,3,Программирование,КР,3,D-,60.0,2014-12-30 00:00:00
294,108817,3,Графические системы,зач,3,C-,74.0,2014-12-30 00:00:00
295,108817,3,Специальные главы математики,зач,3,E,51.0,2014-12-30 00:00:00
296,108817,3,Теория информации,зач,5,A-,90.0,2014-12-30 00:00:00
297,108817,3,Иностранный язык,зач,з,D,64.0,2014-12-30 00:00:00
298,108817,3,Физическая культура,зач,з,,,2014-12-30 00:00:00
299,108817,3,Программирование,экз,3,D,60.0,2014-12-30 00:00:00
300,108817,3,Электроника,экз,3,E,55.0,2014-12-30 00:00:00
301,108817,3,Теория вероятностей и математическая статистика,экз,4,B,85.0,2014-12-30 00:00:00
302,108817,3,Философия,экз,5,A-,90.0,2014-12-30 00:00:00
303,108817,4,Иностранный язык,зач,ня,,,2014-06-17 00:00:00
304,108817,4,Физическая культура,зач,з,,,2014-06-18 00:00:00
305,108817,4,Схемотехника,зач,ня,,,2014-06-18 00:00:00
306,108817,4,Операционные системы,КР,ня,,,2014-06-20 00:00:00
307,108817,4,Правоведение,зач,ня,,,2014-06-20 00:00:00
308,108817,4,Технология программирования,КР,ня,,,2014-06-23 00:00:00
309,108817,4,Технология программирования,экз,нд,,,2014-06-24 00:00:00
310,108817,4,Вычислительная математика,экз,ня,,,2014-06-27 00:00:00
311,108817,4,Основы теории управления,экз,ня,,,2014-06-30 00:00:00
312,108817,4,Операционные системы,экз,ня,,,2014-07-03 00:00:00
313,108817,4,Иностранный язык,зач,4,C,73.0,2014-12-19 00:00:00
314,108817,4,Операционные системы,экз,4,B-,80.0,2015-02-19 00:00:00
315,108817,4,Операционные системы,КР,4,C,75.0,2015-02-20 00:00:00
316,108817,4,Правоведение,зач,4,C,75.0,2015-03-02 00:00:00
342,110015,1,Инженерная графика,зач,4,B,85.0,2015-03-25 00:00:00
343,110015,1,Иностранный язык,зач,з,C,70.0,2015-03-25 00:00:00
344,110015,1,Введение в направление,зач,ня,,,2015-03-25 00:00:00
345,110015,1,История,зач,ня,,,2015-03-25 00:00:00
346,110015,1,Линейная алгебра и аналитическая геометрия,экз,3,D,65.0,2015-03-25 00:00:00
347,110015,1,Математический анализ,экз,3,D,65.0,2015-03-25 00:00:00
348,110015,2,Иностранный язык,зач,з,B,85.0,2015-03-25 00:00:00
349,110015,2,Культура и личность,зач,з,C,70.0,2015-03-25 00:00:00
350,110015,2,Правоведение,зач,з,C,70.0,2015-03-25 00:00:00
351,110015,2,Информатика,зач,ня,,,2015-03-25 00:00:00
352,110015,2,Математический анализ,экз,3,D,65.0,2015-03-25 00:00:00
353,110015,2,Физика,экз,3,D,65.0,2015-03-25 00:00:00
354,110015,3,Общая энергетика,зач,4,B,85.0,2015-03-25 00:00:00
355,110015,3,Иностранный язык,зач,з,C,70.0,2015-03-25 00:00:00
356,110015,3,Информатика,зач,з,C,70.0,2015-03-25 00:00:00
357,110015,3,Социальные технологии,зач,з,C,70.0,2015-03-25 00:00:00
358,110015,3,Теория функций комплексного переменного,зач,з,D,65.0,2015-03-25 00:00:00
359,110015,3,Физика,экз,3,D,65.0,2015-03-25 00:00:00
360,110015,3,Химия,экз,3,D,65.0,2015-03-25 00:00:00
361,110015,4,Теория вероятностей и математическая статистика,зач,3,D,65.0,2015-03-25 00:00:00
362,110015,4,Иностранный язык,зач,4,B,85.0,2015-03-25 00:00:00
363,110015,4,Философия,зач,5,A,95.0,2015-03-25 00:00:00
364,110015,4,Электротехническое и конструкционное материаловедение,зач,ня,,,2015-03-25 00:00:00
365,110015,4,Механика,экз,4,B,85.0,2015-03-25 00:00:00
366,110015,4,Физика,экз,4,B,85.0,2015-03-25 00:00:00
381,111498,1,Инженерная графика,зач,4,B,85.0,2014-10-30 00:00:00
382,111498,1,История,зач,5,A,95.0,2014-10-30 00:00:00
383,111498,1,Иностранный язык,зач,з,C,70.0,2014-10-30 00:00:00
384,111498,1,Введение в направление,зач,ня,,,2014-10-30 00:00:00
385,111498,1,Линейная алгебра и аналитическая геометрия,экз,3,D,65.0,2014-10-30 00:00:00
386,111498,1,Математический анализ,экз,3,D,65.0,2014-10-30 00:00:00
387,111498,2,Иностранный язык,зач,з,C,70.0,2014-10-30 00:00:00
388,111498,2,Культура и личность,зач,з,C,70.0,2014-10-30 00:00:00
389,111498,2,Правоведение,зач,з,C,70.0,2014-10-30 00:00:00
390,111498,2,Информатика,зач,ня,,,2014-10-30 00:00:00
391,111498,2,Математический анализ,экз,4,B,85.0,2014-10-30 00:00:00
392,111498,2,Физика,экз,4,B,85.0,2014-10-30 00:00:00
393,111498,3,Иностранный язык,зач,з,B,85.0,2014-10-30 00:00:00
394,111498,3,Теория функций комплексного переменного,зач,з,B,85.0,2014-10-30 00:00:00
395,111498,3,Информатика,зач,з,C,70.0,2014-10-30 00:00:00
396,111498,3,Организационная психология,зач,з,C,70.0,2014-10-30 00:00:00
397,111498,3,Физика,экз,3,D,65.0,2014-10-30 00:00:00
398,111498,3,Химия,экз,3,D,65.0,2014-10-30 00:00:00
399,111498,3,Общая энергетика,зач,4,C+,79.0,2015-02-03 00:00:00
400,111498,4,Теория вероятностей и математическая статистика,зач,3,D,65.0,2014-10-30 00:00:00
401,111498,4,Иностранный язык,зач,4,B,85.0,2014-10-30 00:00:00
402,111498,4,Философия,зач,4,B,85.0,2014-10-30 00:00:00
403,111498,4,Физика,экз,4,B,85.0,2014-10-30 00:00:00
404,111498,4,Механика,экз,4,C,73.0,2015-02-03 00:00:00
405,111498,4,Электротехническое и конструкционное материаловедение,зач,3,D,63.0,2015-02-04 00:00:00
431,111592,1,Иностранный язык,зач,з,C,70.0,2017-03-16 00:00:00
432,111592,1,Введение в направление,зач,з,E,50.0,2017-03-16 00:00:00
433,111592,1,Физическая культура и спорт,зач,з,,,2017-03-16 00:00:00
434,111592,1,Учебная практика: ознакомительная практика,прак,з,A-,90.0,2017-03-16 00:00:00
435,111592,1,История,экз,4,B,85.0,2017-03-16 00:00:00
436,111592,1,Линейная алгебра,экз,4,B,85.0,2017-03-16 00:00:00
437,111592,1,Физика,экз,4,B,85.0,2017-03-16 00:00:00
438,111592,1,Математический анализ,экз,5,A,95.0,2017-03-16 00:00:00
439,111592,2,Инженерная графика,зач,з,A,95.0,2017-03-16 00:00:00
440,111592,2,Иностранный язык,зач,з,C,70.0,2017-03-16 00:00:00
441,111592,2,Информатика,зач,з,C,70.0,2017-03-16 00:00:00
442,111592,2,Основы личностной и коммуникативной культуры,зач,з,C,70.0,2017-03-16 00:00:00
443,111592,2,Физическая культура и спорт,зач,з,,,2017-03-16 00:00:00
444,111592,2,Физика,экз,3,D,65.0,2017-03-16 00:00:00
445,111592,2,Математический анализ,экз,4,B,85.0,2017-03-16 00:00:00
446,111592,3,Иностранный язык,зач,з,C,70.0,2017-03-16 00:00:00
447,111592,3,Психология и технологии социального взаимодействия,зач,з,C,75.0,2017-03-16 00:00:00
448,111592,3,Теория функций комплексного переменного,зач,з,D,65.0,2017-03-16 00:00:00
449,111592,3,Физическая культура и спорт,зач,з,,,2017-03-16 00:00:00
450,111592,3,Механика,экз,3,D,65.0,2017-03-16 00:00:00
451,111592,3,Физика,экз,3,D,65.0,2017-03-16 00:00:00
452,111592,3,Информатика 2,экз,4,C,75.0,2017-03-16 00:00:00
453,111592,3,Математический анализ,экз,4,C,75.0,2017-03-16 00:00:00
454,111592,4,Философия,зач,3,D,65.0,2017-03-16 00:00:00
455,111592,4,Электротехническое и конструкционное материаловедение,зач,з,C,73.0,2017-03-16 00:00:00
456,111592,4,Физическая культура и спорт,зач,з,,,2017-03-16 00:00:00
457,111592,4,Теоретические основы электротехники,экз,3,D,65.0,2017-03-16 00:00:00
458,111592,4,Теория вероятностей и математическая статистика,экз,3,D,65.0,2017-03-16 00:00:00
459,111592,4,Химия,экз,4,B,85.0,2017-03-16 00:00:00
460,111592,4,Иностранный язык,экз,5,A,95.0,2017-03-16 00:00:00
503,116105,1,Начертательная геометрия. Инженерная и компьютерная графика,зач,4,B,85.0,2015-05-14 00:00:00
504,116105,1,Иностранный язык,зач,з,C,70.0,2015-05-14 00:00:00
505,116105,1,Введение в направление,зач,ня,,,2015-05-14 00:00:00
506,116105,1,Линейная алгебра,экз,3,D,65.0,2015-05-14 00:00:00
507,116105,1,Математический анализ,экз,3,D,65.0,2015-05-14 00:00:00
508,116105,1,История,экз,5,A,95.0,2015-05-14 00:00:00
509,116105,2,Иностранный язык,зач,з,C,70.0,2015-05-14 00:00:00
510,116105,2,Культура и личность,зач,з,C,70.0,2015-05-14 00:00:00
511,116105,2,Информатика,зач,ня,,,2015-05-14 00:00:00
512,116105,2,Математический анализ,экз,3,D,65.0,2015-05-14 00:00:00
513,116105,2,Химия,экз,3,D,65.0,2015-05-14 00:00:00
514,116105,2,Философия,экз,ня,,,2015-05-14 00:00:00
515,116105,3,Физика,зач,3,D,65.0,2015-05-14 00:00:00
516,116105,3,Иностранный язык,зач,з,C,70.0,2015-05-14 00:00:00
517,116105,3,Организационная психология,зач,з,C,70.0,2015-05-14 00:00:00
518,116105,3,Экология,зач,ня,,,2015-05-14 00:00:00
519,116105,3,Информатика,экз,ня,,,2015-05-14 00:00:00
520,116105,3,Специальные главы математики,экз,ня,,,2015-05-14 00:00:00
521,116105,3,Экология,зач,нд,,,2016-01-19 00:00:00
522,116105,4,Иностранный язык,зач,3,D,65.0,2015-05-14 00:00:00
523,116105,4,Специальные главы математики,зач,з,D,65.0,2015-05-14 00:00:00
524,116105,4,Теоретическая механика,экз,3,D,65.0,2015-05-14 00:00:00
525,116105,4,Физика,экз,3,D,65.0,2015-05-14 00:00:00
526,116105,4,Материаловедение. Технология конструкционных материалов,зач,ня,,,2015-06-20 00:00:00
527,116105,4,Техническая термодинамика,зач,ня,,,2015-06-29 00:00:00
528,116244,1,Иностранный язык,зач,з,C,73.0,2022-09-28 00:00:00
529,116244,1,Физическая культура и спорт,зач,з,C,73.0,2022-09-28 00:00:00
530,116244,1,Введение в направление,зач,з,E,50.0,2022-09-28 00:00:00
531,116244,1,Учебная практика: ознакомительная практика,прак,з,B,85.0,2022-09-28 00:00:00
532,116244,1,История,экз,3,D,65.0,2022-09-28 00:00:00
533,116244,1,Линейная алгебра,экз,3,D,65.0,2022-09-28 00:00:00
534,116244,1,Математический анализ,экз,3,D,65.0,2022-09-28 00:00:00
535,116244,1,Физика,экз,3,D,65.0,2022-09-28 00:00:00
536,116244,2,Инженерная графика,зач,з,B,85.0,2022-09-28 00:00:00
537,116244,2,Иностранный язык,зач,з,C,73.0,2022-09-28 00:00:00
538,116244,2,Информатика,зач,з,C,73.0,2022-09-28 00:00:00
539,116244,2,Основы личностной и коммуникативной культуры,зач,з,C,73.0,2022-09-28 00:00:00
540,116244,2,Физическая культура и спорт,зач,з,C,73.0,2022-09-28 00:00:00
541,116244,2,Математический анализ,экз,3,D,65.0,2022-09-28 00:00:00
542,116244,2,Физика,экз,3,D,65.0,2022-09-28 00:00:00
543,116244,3,Иностранный язык,зач,з,C,73.0,2022-09-28 00:00:00
544,116244,3,Психология и технологии социального взаимодействия,зач,з,C,73.0,2022-09-28 00:00:00
545,116244,3,Теория функций комплексного переменного,зач,з,C,73.0,2022-09-28 00:00:00
546,116244,3,Физическая культура и спорт,зач,з,C,73.0,2022-09-28 00:00:00
547,116244,3,Математический анализ,экз,3,D,65.0,2022-09-28 00:00:00
548,116244,3,Механика,экз,3,D,65.0,2022-09-28 00:00:00
549,116244,3,Физика,экз,3,D,65.0,2022-09-28 00:00:00
550,116244,3,Информатика 2,экз,5,B+,89.0,2022-09-28 00:00:00
551,116244,4,Философия,зач,4,B,85.0,2022-09-28 00:00:00
552,116244,4,Физическая культура и спорт,зач,з,C,73.0,2022-09-28 00:00:00
553,116244,4,Электротехническое и конструкционное материаловедение,зач,з,C,73.0,2022-09-28 00:00:00
554,116244,4,Специальные главы высшей математики,экз,3,D,65.0,2022-09-28 00:00:00
555,116244,4,Теоретические основы электротехники,экз,3,D,65.0,2022-09-28 00:00:00
556,116244,4,Иностранный язык,экз,4,B,85.0,2022-09-28 00:00:00
557,116244,4,Химия,экз,4,B,85.0,2022-09-28 00:00:00
599,116556,1,Информационные технологии,зач,3,E,50.0,2016-03-28 00:00:00
600,116556,1,Введение в направление,зач,4,B,84.0,2016-03-28 00:00:00
601,116556,1,Иностранный язык,зач,з,E,50.0,2016-03-28 00:00:00
602,116556,1,Физическая культура и спорт,зач,з,,,2016-03-28 00:00:00
603,116556,1,Математический анализ,экз,3,D,60.0,2016-03-28 00:00:00
604,116556,1,Физика,экз,3,D,60.0,2016-03-28 00:00:00
605,116556,1,История,экз,3,E,50.0,2016-03-28 00:00:00
606,116556,1,Линейная алгебра,экз,3,E,50.0,2016-03-28 00:00:00
607,116556,2,Учебная практика: практика по получению первичных профессиональных умений и навыков,прак,5,A-,90.0,2013-05-29 00:00:00
608,116556,2,Информационные технологии,КР,4,C,73.0,2016-03-28 00:00:00
609,116556,2,Информационные технологии,зач,3,E,50.0,2016-03-28 00:00:00
